English,Transcription,Русский
# ─────────── A1 · ПОГОДА ───────────
It is sunny today,/ɪt ɪz ˈsʌni təˈdeɪ/,сегодня солнечно
It is raining,/ɪt ɪz ˈreɪnɪŋ/,идёт дождь
It is snowing,/ɪt ɪz ˈsnəʊɪŋ/,идёт снег
It is windy,/ɪt ɪz ˈwɪndi/,ветрено
It is cloudy,/ɪt ɪz ˈklaʊdi/,облачно
It is cold today,/ɪt ɪz kəʊld təˈdeɪ/,сегодня холодно
It is hot today,/ɪt ɪz hɒt təˈdeɪ/,сегодня жарко
It is foggy,/ɪt ɪz ˈfɒɡi/,туманно
The weather is nice,/ðə ˈweðə ɪz naɪs/,погода хорошая
a rainbow,/ə ˈreɪnbəʊ/,радуга
A storm is coming,/ə stɔːm ɪz ˈkʌmɪŋ/,надвигается буря
What is the weather like?,/wɒt ɪz ðə ˈweðə laɪk/,какая погода?
# ─────────── A1 · СЕМЬЯ ───────────
mum,/mʌm/,мама
dad,/dæd/,папа
parents,/ˈpeərənts/,родители
brother,/ˈbrʌðə/,брат
sister,/ˈsɪstə/,сестра
grandma,/ˈɡrænmɑː/,бабушка
grandpa,/ˈɡrænpɑː/,дедушка
aunt,/ɑːnt/,тётя
uncle,/ˈʌŋkəl/,дядя
cousin,/ˈkʌzən/,двоюродный брат / сестра
husband,/ˈhʌzbənd/,муж
wife,/waɪf/,жена
This is my family,/ðɪs ɪz maɪ ˈfæməli/,это моя семья
I have two children,/aɪ hæv tuː ˈtʃɪldrən/,у меня двое детей
# ─────────── A1 · АНТОНИМЫ (50) ───────────
big — small,/bɪɡ — smɔːl/,большой — маленький
good — bad,/ɡʊd — bæd/,хороший — плохой
hot — cold,/hɒt — kəʊld/,горячий — холодный
new — old,/njuː — əʊld/,новый — старый
fast — slow,/fɑːst — sləʊ/,быстрый — медленный
happy — sad,/ˈhæpi — sæd/,счастливый — грустный
easy — hard,/ˈiːzi — hɑːd/,лёгкий — трудный
long — short,/lɒŋ — ʃɔːt/,длинный — короткий
high — low,/haɪ — ləʊ/,высокий — низкий
strong — weak,/strɒŋ — wiːk/,сильный — слабый
rich — poor,/rɪtʃ — pʊə/,богатый — бедный
clean — dirty,/kliːn — ˈdɜːti/,чистый — грязный
full — empty,/fʊl — ˈempti/,полный — пустой
open — closed,/ˈəʊpən — kləʊzd/,открытый — закрытый
light — dark,/laɪt — dɑːk/,светлый — тёмный
early — late,/ˈɜːli — leɪt/,ранний — поздний
near — far,/nɪə — fɑː/,близкий — далёкий
young — old,/jʌŋ — əʊld/,молодой — старый
beautiful — ugly,/ˈbjuːtɪfəl — ˈʌɡli/,красивый — уродливый
