English,Transcription,Русский
# ─────────── B2 · РАЗГОВОРНЫЕ И ДИСКУРСИВНЫЕ ФРАЗЫ ───────────
To cut a long story short,/tuː kʌt ə lɒŋ ˈstɔːri ʃɔːt/,короче говоря
Now that you mention it,/naʊ ðæt juː ˈmenʃən ɪt/,раз уж ты об этом заговорил
Come to think of it,/kʌm tuː θɪŋk ɒv ɪt/,если подумать
That said,/ðæt sed/,тем не менее / при этом
On the whole,/ɒn ðə həʊl/,в целом
In other words,/ɪn ˈʌðə wɜːdz/,другими словами
The thing is,/ðə θɪŋ ɪz/,дело в том, что
If you ask me,/ɪf juː ɑːsk miː/,по-моему / если хочешь знать
To put it simply,/tuː pʊt ɪt ˈsɪmpli/,проще говоря
It goes without saying,/ɪt ɡəʊz wɪˈðaʊt ˈseɪɪŋ/,само собой разумеется
Let's agree to disagree,/lets əˈɡriː tuː ˌdɪsəˈɡriː/,давай останемся при своих мнениях
There's no denying that,/ðeəz nəʊ dɪˈnaɪɪŋ ðæt/,нельзя отрицать, что
I'd rather not say,/aɪd ˈrɑːðə nɒt seɪ/,я предпочту не говорить
That's beside the point,/ðæts bɪˈsaɪd ðə pɔɪnt/,это не относится к делу
Let's get to the point,/lets ɡet tuː ðə pɔɪnt/,давай ближе к делу
I'm in two minds,/aɪm ɪn tuː maɪndz/,я в сомнениях
I wouldn't go that far,/aɪ ˈwʊdənt ɡəʊ ðæt fɑː/,я бы не был так категоричен
Correct me if I'm wrong,/kəˈrekt miː ɪf aɪm rɒŋ/,поправь меня, если я не прав
Bear with me,/beə wɪð miː/,потерпи немного
Let's play it by ear,/lets pleɪ ɪt baɪ ɪə/,будем действовать по ситуации
It rings a bell,/ɪt rɪŋz ə bel/,что-то припоминаю
Easier said than done,/ˈiːziə sed ðæn dʌn/,легче сказать, чем сделать
I can't get my head around it,/aɪ kɑːnt ɡet maɪ hed əˈraʊnd ɪt/,никак не могу это понять
It's driving me crazy,/ɪts ˈdraɪvɪŋ miː ˈkreɪzi/,это сводит меня с ума
I'm fed up with it,/aɪm fed ʌp wɪð ɪt/,мне это надоело
It's not rocket science,/ɪts nɒt ˈrɒkɪt ˈsaɪəns/,это несложно
Let's call it a day,/lets kɔːl ɪt ə deɪ/,на сегодня хватит
I'll get back to you,/aɪl ɡet bæk tuː juː/,я вернусь к тебе с ответом
Keep me posted,/kiːp miː ˈpəʊstɪd/,держи меня в курсе
It's on the tip of my tongue,/ɪts ɒn ðə tɪp ɒv maɪ tʌŋ/,вертится на языке
We're on the same page,/wɪər ɒn ðə seɪm peɪdʒ/,мы понимаем друг друга
Off the top of my head,/ɒf ðə tɒp ɒv maɪ hed/,навскидку / не задумываясь
Give or take,/ɡɪv ɔː teɪk/,плюс-минус
In a nutshell,/ɪn ə ˈnʌtʃel/,в двух словах
For what it's worth,/fɔː wɒt ɪts wɜːθ/,на всякий случай скажу / как бы там ни было
As a rule,/əz ə ruːl/,как правило
By no means,/baɪ nəʊ miːnz/,никоим образом
Little did I know,/ˈlɪtəl dɪd aɪ nəʊ/,я и не подозревал
Chances are,/ˈtʃɑːnsɪz ɑː/,скорее всего
It's high time,/ɪts haɪ taɪm/,давно пора
I might as well,/aɪ maɪt əz wel/,почему бы и нет / всё равно
