English,Transcription,Русский
# ─────────── B1 · РАЗГОВОРНЫЕ ФРАЗЫ ───────────
It depends,/ɪt dɪˈpendz/,смотря как / зависит
I suppose so,/aɪ səˈpəʊz səʊ/,наверное да / пожалуй
That makes sense,/ðæt meɪks sens/,в этом есть смысл / логично
I see what you mean,/aɪ siː wɒt juː miːn/,понимаю, о чём ты
Let me think,/let miː θɪŋk/,дай подумать
To be honest,/tuː biː ˈɒnɪst/,честно говоря
As far as I know,/əz fɑːr əz aɪ nəʊ/,насколько я знаю
It's up to you,/ɪts ʌp tuː juː/,решать тебе
I couldn't agree more,/aɪ ˈkʊdənt əˈɡriː mɔː/,полностью согласен
That's a good point,/ðæts ə ɡʊd pɔɪnt/,хорошее замечание
I'm not sure about that,/aɪm nɒt ʃɔːr əˈbaʊt ðæt/,я в этом не уверен(а)
It's worth a try,/ɪts wɜːθ ə traɪ/,стоит попробовать
Just in case,/dʒʌst ɪn keɪs/,на всякий случай
On second thought,/ɒn ˈsekənd θɔːt/,если подумать / передумал
More or less,/mɔːr ɔː les/,более-менее
Take your time,/teɪk jɔː taɪm/,не спеши
It doesn't matter,/ɪt ˈdʌzənt ˈmætə/,неважно
Fair enough,/feər ɪˈnʌf/,ну ладно / справедливо
I'll think about it,/aɪl θɪŋk əˈbaʊt ɪt/,я подумаю
Let's keep in touch,/lets kiːp ɪn tʌtʃ/,давай на связи
It's a deal,/ɪts ə diːl/,по рукам / договорились
Sounds like a plan,/saʊndz laɪk ə plæn/,отличный план / договорились
I'm on my way,/aɪm ɒn maɪ weɪ/,я уже еду / в пути
Give me a moment,/ɡɪv miː ə ˈməʊmənt/,дай мне минутку
What a pity,/wɒt ə ˈpɪti/,как жаль
That's too bad,/ðæts tuː bæd/,очень жаль
Better late than never,/ˈbetə leɪt ðæn ˈnevə/,лучше поздно, чем никогда
It could be worse,/ɪt kʊd biː wɜːs/,могло быть и хуже
Same to you,/seɪm tuː juː/,и тебе того же
I owe you one,/aɪ əʊ juː wʌn/,я твой должник
It's my turn,/ɪts maɪ tɜːn/,моя очередь
Make yourself at home,/meɪk jɔːˈself ət həʊm/,чувствуй себя как дома
Help yourself,/help jɔːˈself/,угощайся
Cheer up,/tʃɪər ʌp/,не унывай / выше нос
No offence,/nəʊ əˈfens/,без обид
Just kidding,/dʒʌst ˈkɪdɪŋ/,шучу
I mean it,/aɪ miːn ɪt/,я серьёзно
Let's face it,/lets feɪs ɪt/,давай признаем
As usual,/əz ˈjuːʒuəl/,как обычно
For the time being,/fɔː ðə taɪm ˈbiːɪŋ/,пока что / на время
At the end of the day,/ət ðiː end ɒv ðə deɪ/,в конечном счёте
Long story short,/lɒŋ ˈstɔːri ʃɔːt/,короче говоря
I'll be right back,/aɪl biː raɪt bæk/,я сейчас вернусь
It's not a big deal,/ɪts nɒt ə bɪɡ diːl/,это не проблема
Well done,/wel dʌn/,молодец / отлично
Good for you,/ɡʊd fɔː juː/,рад за тебя
No rush,/nəʊ rʌʃ/,не спеши / не срочно
I'm afraid not,/aɪm əˈfreɪd nɒt/,боюсь, что нет
