English,Transcription,Русский
# ─────────── B1 · ФРАЗОВЫЕ ГЛАГОЛЫ В ПРЕДЛОЖЕНИЯХ ───────────
Please carry on,/pliːz ˈkæri ɒn/,продолжай, пожалуйста
Don't give up now,/dəʊnt ɡɪv ʌp naʊ/,не сдавайся сейчас
I'm looking forward to it,/aɪm ˈlʊkɪŋ ˈfɔːwəd tuː ɪt/,я с нетерпением этого жду
We came up with a plan,/wiː keɪm ʌp wɪð ə plæn/,мы придумали план
We ran out of milk,/wiː ræn aʊt ɒv mɪlk/,у нас закончилось молоко
Don't put it off,/dəʊnt pʊt ɪt ɒf/,не откладывай это
The plane took off late,/ðə pleɪn tʊk ɒf leɪt/,самолёт взлетел поздно
I get along with him,/aɪ ɡet əˈlɒŋ wɪð hɪm/,я лажу с ним
Who looks after the kids?,/huː lʊks ˈɑːftə ðə kɪdz/,кто присматривает за детьми?
I'll deal with it later,/aɪl diːl wɪð ɪt ˈleɪtə/,я разберусь с этим позже
I can't figure it out,/aɪ kɑːnt ˈfɪɡər ɪt aʊt/,я не могу это понять
He pointed out the mistake,/hiː ˈpɔɪntɪd aʊt ðə mɪˈsteɪk/,он указал на ошибку
They turned down the offer,/ðeɪ tɜːnd daʊn ðiː ˈɒfə/,они отклонили предложение
Turn up the volume,/tɜːn ʌp ðə ˈvɒljuːm/,сделай погромче
Don't bring that up,/dəʊnt brɪŋ ðæt ʌp/,не поднимай эту тему
The car broke down,/ðə kɑː brəʊk daʊn/,машина сломалась
They broke up last year,/ðeɪ brəʊk ʌp lɑːst jɪə/,они расстались в прошлом году
I work out every morning,/aɪ wɜːk aʊt ˈevri ˈmɔːnɪŋ/,я тренируюсь каждое утро
We set up a meeting,/wiː set ʌp ə ˈmiːtɪŋ/,мы назначили встречу
He didn't show up,/hiː ˈdɪdənt ʃəʊ ʌp/,он не пришёл
I came across an old photo,/aɪ keɪm əˈkrɒs ən əʊld ˈfəʊtəʊ/,я наткнулся на старое фото
It took time to get over it,/ɪt tʊk taɪm tuː ɡet ˈəʊvər ɪt/,понадобилось время, чтобы это пережить
I can't put up with this,/aɪ kɑːnt pʊt ʌp wɪð ðɪs/,я не могу это терпеть
Look up the word,/lʊk ʌp ðə wɜːd/,посмотри слово (в словаре)
Let's sort it out,/lets sɔːt ɪt aʊt/,давай это уладим
Hold on a second,/həʊld ɒn ə ˈsekənd/,подожди секунду
Go on, I'm listening,/ɡəʊ ɒn aɪm ˈlɪsənɪŋ/,продолжай, я слушаю
We'll get by,/wiːl ɡet baɪ/,мы справимся / проживём
They called off the trip,/ðeɪ kɔːld ɒf ðə trɪp/,они отменили поездку
I'm cutting down on sugar,/aɪm ˈkʌtɪŋ daʊn ɒn ˈʃʊɡə/,я сокращаю сахар
We ended up staying home,/wiː ˈendɪd ʌp ˈsteɪɪŋ həʊm/,в итоге мы остались дома
Fill in the form,/fɪl ɪn ðə fɔːm/,заполни бланк
Hand in your homework,/hænd ɪn jɔː ˈhəʊmwɜːk/,сдай домашнюю работу
I can't keep up with you,/aɪ kɑːnt kiːp ʌp wɪð juː/,я не поспеваю за тобой
Don't let me down,/dəʊnt let miː daʊn/,не подведи меня
She made up an excuse,/ʃiː meɪd ʌp ən ɪkˈskjuːs/,она придумала отговорку
I ran into an old friend,/aɪ ræn ˈɪntuː ən əʊld frend/,я случайно встретил старого друга
He took over the company,/hiː tʊk ˈəʊvə ðə ˈkʌmpəni/,он возглавил компанию
Throw away the rubbish,/θrəʊ əˈweɪ ðə ˈrʌbɪʃ/,выброси мусор
Can I try it on?,/kæn aɪ traɪ ɪt ɒn/,можно примерить?
Warm up before you run,/wɔːm ʌp bɪˈfɔː juː rʌn/,разомнись перед бегом
Back up your files,/bæk ʌp jɔː faɪlz/,сделай резервную копию файлов
Calm down, it's okay,/kɑːm daʊn ɪts əʊˈkeɪ/,успокойся, всё хорошо
What time do you check in?,/wɒt taɪm duː juː tʃek ɪn/,во сколько заселение?
We need to check out by ten,/wiː niːd tuː tʃek aʊt baɪ ten/,нам нужно выехать до десяти
I'll drop you off,/aɪl drɒp juː ɒf/,я тебя подброшу
Get rid of the old stuff,/ɡet rɪd ɒv ðiː əʊld stʌf/,избавься от старых вещей
Don't hang up,/dəʊnt hæŋ ʌp/,не вешай трубку
Please log in,/pliːz lɒɡ ɪn/,пожалуйста, войди (в аккаунт)
It's time to move on,/ɪts taɪm tuː muːv ɒn/,пора двигаться дальше
I signed up for a course,/aɪ saɪnd ʌp fɔːr ə kɔːs/,я записался на курс
You really stand out,/juː ˈrɪəli stænd aʊt/,ты правда выделяешься
Let me sum up,/let miː sʌm ʌp/,позвольте подвести итог
I'm worn out,/aɪm wɔːn aʊt/,я вымотан
# ─────────── B1 · ВОПРОСЫ В РАЗНЫХ ВРЕМЕНАХ ───────────
What do you do for a living?,/wɒt duː juː duː fɔːr ə ˈlɪvɪŋ/,кем ты работаешь?
