English,Transcription,Русский
# ─────────── B1 · ХАРАКТЕР И ЛИЧНОСТЬ ───────────
personality,/ˌpɜːsəˈnæləti/,личность / характер
character,/ˈkærəktə/,характер / персонаж
attitude,/ˈætɪtjuːd/,отношение / настрой
behaviour,/bɪˈheɪvjə/,поведение
appearance,/əˈpɪərəns/,внешность
reputation,/ˌrepjuˈteɪʃən/,репутация
confidence,/ˈkɒnfɪdəns/,уверенность
honesty,/ˈɒnəsti/,честность
kindness,/ˈkaɪndnəs/,доброта
generosity,/ˌdʒenəˈrɒsəti/,щедрость
ambition,/æmˈbɪʃən/,амбиция / стремление
curiosity,/ˌkjʊəriˈɒsəti/,любопытство
imagination,/ɪˌmædʒɪˈneɪʃən/,воображение
maturity,/məˈtʃʊərəti/,зрелость
manners,/ˈmænəz/,манеры
temper,/ˈtempə/,нрав / вспыльчивость
charm,/tʃɑːm/,обаяние
wisdom,/ˈwɪzdəm/,мудрость
laziness,/ˈleɪzinəs/,лень
selfishness,/ˈselfɪʃnəs/,эгоизм
# ─────────── B1 · ИСКУССТВО И КУЛЬТУРА ───────────
culture,/ˈkʌltʃə/,культура
tradition,/trəˈdɪʃən/,традиция
custom,/ˈkʌstəm/,обычай
festival,/ˈfestɪvəl/,фестиваль
ceremony,/ˈserɪməni/,церемония
exhibition,/ˌeksɪˈbɪʃən/,выставка
gallery,/ˈɡæləri/,галерея
sculpture,/ˈskʌlptʃə/,скульптура
painting,/ˈpeɪntɪŋ/,картина / живопись
novel,/ˈnɒvəl/,роман
poetry,/ˈpəʊətri/,поэзия
author,/ˈɔːθə/,автор
audience,/ˈɔːdiəns/,аудитория / зрители
performance,/pəˈfɔːməns/,выступление
stage,/steɪdʒ/,сцена
plot,/plɒt/,сюжет
masterpiece,/ˈmɑːstəpiːs/,шедевр
director,/dɪˈrektə/,режиссёр / директор
instrument,/ˈɪnstrəmənt/,инструмент (муз.)
# ─────────── B1 · СПОРТ И ДОСУГ ───────────
hobby,/ˈhɒbi/,хобби
leisure,/ˈleʒə/,досуг
championship,/ˈtʃæmpiənʃɪp/,чемпионат
tournament,/ˈtʊənəmənt/,турнир
competition,/ˌkɒmpəˈtɪʃən/,соревнование
athlete,/ˈæθliːt/,спортсмен
coach,/kəʊtʃ/,тренер
referee,/ˌrefəˈriː/,судья (спорт.)
score,/skɔː/,счёт
victory,/ˈvɪktəri/,победа
defeat,/dɪˈfiːt/,поражение
teamwork,/ˈtiːmwɜːk/,командная работа
fitness,/ˈfɪtnəs/,физическая форма
opponent,/əˈpəʊnənt/,соперник
prize,/praɪz/,приз
# ─────────── B1 · ПУТЕШЕСТВИЯ (УГЛУБЛЁННО) ───────────
tourist,/ˈtʊərɪst/,турист
tourism,/ˈtʊərɪzəm/,туризм
sightseeing,/ˈsaɪtsiːɪŋ/,осмотр достопримечательностей
souvenir,/ˌsuːvəˈnɪə/,сувенир
adventure,/ədˈventʃə/,приключение
landscape,/ˈlændskeɪp/,пейзаж / ландшафт
scenery,/ˈsiːnəri/,пейзаж
customs,/ˈkʌstəmz/,таможня
visa,/ˈviːzə/,виза
currency,/ˈkʌrənsi/,валюта
backpack,/ˈbækpæk/,рюкзак
passenger,/ˈpæsɪndʒə/,пассажир
departure,/dɪˈpɑːtʃə/,отправление / вылет
arrival,/əˈraɪvəl/,прибытие
delay,/dɪˈleɪ/,задержка
# ─────────── B1 · ОБЩЕСТВО И МИР ───────────
religion,/rɪˈlɪdʒən/,религия
generation,/ˌdʒenəˈreɪʃən/,поколение
equality,/ɪˈkwɒləti/,равенство
charity,/ˈtʃærəti/,благотворительность
volunteer,/ˌvɒlənˈtɪə/,волонтёр
immigrant,/ˈɪmɪɡrənt/,иммигрант
refugee,/ˌrefjuˈdʒiː/,беженец
conflict,/ˈkɒnflɪkt/,конфликт
violence,/ˈvaɪələns/,насилие
nation,/ˈneɪʃən/,нация
economy,/ɪˈkɒnəmi/,экономика
crisis,/ˈkraɪsɪs/,кризис
freedom of speech,/ˈfriːdəm ɒv spiːtʃ/,свобода слова
human rights,/ˈhjuːmən raɪts/,права человека
# ─────────── B1 · НАУКА И ПРИРОДА ───────────
science,/ˈsaɪəns/,наука
theory,/ˈθɪəri/,теория
gravity,/ˈɡrævəti/,гравитация
species,/ˈspiːʃiːz/,вид (биологический)
creature,/ˈkriːtʃə/,существо
habitat,/ˈhæbɪtæt/,среда обитания
oxygen,/ˈɒksɪdʒən/,кислород
universe,/ˈjuːnɪvɜːs/,вселенная
planet,/ˈplænɪt/,планета
surface,/ˈsɜːfɪs/,поверхность
substance,/ˈsʌbstəns/,вещество
material,/məˈtɪəriəl/,материал
gene,/dʒiːn/,ген
cell,/sel/,клетка
atom,/ˈætəm/,атом
